 time            v(in)           v(out)         
 4.19276939e-03  5.00000000e+00  4.79461375e+00 
 4.20276939e-03  5.00000000e+00  4.79665740e+00 
 4.21276939e-03  5.00000000e+00  4.79868071e+00 
 4.22276939e-03  5.00000000e+00  4.80068389e+00 
 4.23276939e-03  5.00000000e+00  4.80266713e+00 
 4.24276939e-03  5.00000000e+00  4.80463064e+00 
 4.25276939e-03  5.00000000e+00  4.80657461e+00 
 4.26276939e-03  5.00000000e+00  4.80849925e+00 
 4.27276939e-03  5.00000000e+00  4.81040473e+00 
 4.28276939e-03  5.00000000e+00  4.81229125e+00 
 4.29276939e-03  5.00000000e+00  4.81415899e+00 
 4.30276939e-03  5.00000000e+00  4.81600816e+00 
 4.31276939e-03  5.00000000e+00  4.81783892e+00 
 4.32276939e-03  5.00000000e+00  4.81965147e+00 
 4.33276939e-03  5.00000000e+00  4.82144598e+00 
 4.34276939e-03  5.00000000e+00  4.82322264e+00 
 4.35276939e-03  5.00000000e+00  4.82498162e+00 
 4.36276939e-03  5.00000000e+00  4.82672310e+00 
 4.37276939e-03  5.00000000e+00  4.82844724e+00 
 4.38276939e-03  5.00000000e+00  4.83015424e+00 
 4.39276939e-03  5.00000000e+00  4.83184424e+00 
 4.40276939e-03  5.00000000e+00  4.83351744e+00 
 4.41276939e-03  5.00000000e+00  4.83517398e+00 
 4.42276939e-03  5.00000000e+00  4.83681404e+00 
 4.43276939e-03  5.00000000e+00  4.83843778e+00 
 4.44276939e-03  5.00000000e+00  4.84004536e+00 
 4.45276939e-03  5.00000000e+00  4.84163695e+00 
 4.46276939e-03  5.00000000e+00  4.84321270e+00 
 4.47276939e-03  5.00000000e+00  4.84477278e+00 
 4.48276939e-03  5.00000000e+00  4.84631733e+00 
 4.49276939e-03  5.00000000e+00  4.84784651e+00 
 4.50276939e-03  5.00000000e+00  4.84936047e+00 
 4.51276939e-03  5.00000000e+00  4.85085937e+00 
 4.52276939e-03  5.00000000e+00  4.85234336e+00 
 4.53276939e-03  5.00000000e+00  4.85381258e+00 
 4.54276939e-03  5.00000000e+00  4.85526718e+00 
 4.55276939e-03  5.00000000e+00  4.85670731e+00 
 4.56276939e-03  5.00000000e+00  4.85813311e+00 
 4.57276939e-03  5.00000000e+00  4.85954472e+00 
 4.58276939e-03  5.00000000e+00  4.86094228e+00 
 4.59276939e-03  5.00000000e+00  4.86232594e+00 
